NRC,Clave,Materia,Secc,Dias,Hora,Profesor,Salón,ini ,fin ,Hora_ini,Hora_fin
37396,INQS 019,Analisis Numerico y Programaci,OO4,M,0700-0759,ALVARADO - FLORES MIGUEL,1FIQ1/306,0700,0759,07:00,07:59
37396,INQS 019,Analisis Numerico y Programaci,OO4,J,0700-0759,ALVARADO - FLORES MIGUEL,1FIQ1/306,0700,0759,07:00,07:59
37396,INQS 019,Analisis Numerico y Programaci,OO4,V,0700-0759,ALVARADO - FLORES MIGUEL,1FIQ1/306,0700,0759,07:00,07:59
37397,INQS 019,Analisis Numerico y Programaci,OO5,L,1000-1059,PALACIOS - ARIAS JOSE LUCIO,1EMA3/101,1000,1059,10:00,10:59
37397,INQS 019,Analisis Numerico y Programaci,OO5,A,1000-1059,PALACIOS - ARIAS JOSE LUCIO,1EMA3/101,1000,1059,10:00,10:59
37397,INQS 019,Analisis Numerico y Programaci,OO5,M,1000-1059,PALACIOS - ARIAS JOSE LUCIO,1EMA3/101,1000,1059,10:00,10:59
37397,INQS 019,Analisis Numerico y Programaci,OO5,J,1000-1059,PALACIOS - ARIAS JOSE LUCIO,1EMA3/101,1000,1059,10:00,10:59
37397,INQS 019,Analisis Numerico y Programaci,OO5,V,1000-1059,PALACIOS - ARIAS JOSE LUCIO,1EMA3/101,1000,1059,10:00,10:59
38252,IAMS 264,Auditoria e Impacto Ambiental,OO1,L,1800-1859,CARREON - HERRERA NAYELI ITZELL,1FIQ2/201,1800,1859,18:00,18:59
38252,IAMS 264,Auditoria e Impacto Ambiental,OO1,A,1800-1859,CARREON - HERRERA NAYELI ITZELL,1FIQ2/201,1800,1859,18:00,18:59
38252,IAMS 264,Auditoria e Impacto Ambiental,OO1,M,1800-1859,CARREON - HERRERA NAYELI ITZELL,1FIQ2/201,1800,1859,18:00,18:59
38252,IAMS 264,Auditoria e Impacto Ambiental,OO1,J,1800-1859,CARREON - HERRERA NAYELI ITZELL,1FIQ2/201,1800,1859,18:00,18:59
40767,INQS 017,Balance de Materia y Energia,OO1,L,1200-1359,CABRERA - PELAEZ JOSE MANUEL,12EMA5/303A,1200,1359,12:00,13:59
40767,INQS 017,Balance de Materia y Energia,OO1,M,1200-1359,CABRERA - PELAEZ JOSE MANUEL,12EMA5/303A,1200,1359,12:00,13:59
42936,INQS 017,Balance de Materia y Energia,OO2,A,1200-1359,REBOLLAR - PEREZ GEORGETTE,12EMA4/106A,1200,1359,12:00,13:59
42936,INQS 017,Balance de Materia y Energia,OO2,J,1200-1359,REBOLLAR - PEREZ GEORGETTE,12EMA4/106A,1200,1359,12:00,13:59
42939,INQS 017,Balance de Materia y Energia,OO3,A,1600-1759,JUAREZ - NAHUATLATO RAUL,12EMA7/107,1600,1759,16:00,17:59
